"","country","Region","year","population","life","gdp"
"94","Macao, China","East Asia & Pacific","1800",17311,34.7,992
"95","Macedonia, FYR","Europe & Central Asia","1800",391865,36.1,690
"96","Madagascar","Sub-Saharan Africa","1800",1543133,30.5,573
"97","Malawi","Sub-Saharan Africa","1800",737000,30.3,350
"98","Malaysia","East Asia & Pacific","1800",287000,30.6,997
"99","Maldives","South Asia","1800",42378,32.647,842
"100","Mali","Sub-Saharan Africa","1800",1403398,26.408,603
"101","Malta","Europe & Central Asia","1800",134072,28.7,781
"102","Mauritania","Sub-Saharan Africa","1800",382696,32,527
"103","Mauritius","Sub-Saharan Africa","1800",62865,28.7,940
"104","Mexico","America","1800",6181708,26.9,1379
"105","Micronesia, Fed. Sts.","East Asia & Pacific","1800",16416,26.7,518
"106","Moldova","Europe & Central Asia","1800",712558,33.145,621
"107","Mongolia","East Asia & Pacific","1800",619000,31.8,592
"108","Montenegro","Europe & Central Asia","1800",126582,35.4,1057
"109","Morocco","Middle East & North Africa","1800",2503218,33.1,715
"110","Mozambique","Sub-Saharan Africa","1800",1982324,30.278,390
"111","Myanmar","East Asia & Pacific","1800",3506000,30.8,840
"112","Namibia","Sub-Saharan Africa","1800",229000,32.4,540
"113","Nepal","South Asia","1800",3881000,32.8,654
"114","Netherlands","Europe & Central Asia","1800",2254522,39.86,4235
"115","New Zealand","East Asia & Pacific","1800",1e+05,34.05,658
"116","Nicaragua","America","1800",219387,25.4,973
"117","Niger","Sub-Saharan Africa","1800",1244861,30.8,446
"118","Nigeria","Sub-Saharan Africa","1800",12100855,30.4,851
"119","Norway","Europe & Central Asia","1800",868570,37.9162089880228,1278
"120","Oman","Middle East & North Africa","1800",318000,32.3,915
"121","Pakistan","South Asia","1800",13123633,25.8,1021
"122","Panama","America","1800",78842,32.9,847
"123","Papua New Guinea","East Asia & Pacific","1800",754894,31.5,546
"124","Paraguay","America","1800",143000,35.5,835
"125","Peru","America","1800",1314151,35.7,1204
"126","Philippines","East Asia & Pacific","1800",1894389,30.9,962
"127","Poland","Europe & Central Asia","1800",9508747,35.9,1213
"128","Portugal","Europe & Central Asia","1800",3033454,35.6,1685
"129","Puerto Rico","America","1800",155000,30.43,1375
"130","Qatar","Middle East & North Africa","1800",14092,30.8,1097
"131","Romania","Europe & Central Asia","1800",5464085,35.7,815
"132","Russia","Europe & Central Asia","1800",31088398,29.5734571976521,1430
"133","Rwanda","Sub-Saharan Africa","1800",928368,31.8,431
"134","Samoa","East Asia & Pacific","1800",47300,25.4,1400
"135","Sao Tome and Principe","Sub-Saharan Africa","1800",22731,31,850
"136","Saudi Arabia","Middle East & North Africa","1800",2091000,32.1,846
"137","Senegal","Sub-Saharan Africa","1800",1009886,25.2,497
"138","Serbia","Europe & Central Asia","1800",2147197,35.5,1358
"139","Seychelles","Sub-Saharan Africa","1800",12522,37,792
"140","Sierra Leone","Sub-Saharan Africa","1800",794264,25.1,734
"141","Singapore","East Asia & Pacific","1800",30000,29.1,1021
"142","Slovak Republic","Europe & Central Asia","1800",2140651,36.4,1427
"143","Slovenia","Europe & Central Asia","1800",469664,36.6,1409
"144","Solomon Islands","East Asia & Pacific","1800",56998,25.1,363
"145","Somalia","Sub-Saharan Africa","1800",991488,29.4,694
"146","South Africa","Sub-Saharan Africa","1800",1440820,33.5,1480
"147","Spain","Europe & Central Asia","1800",11549294,29.5,1518
"148","Sri Lanka","South Asia","1800",1213000,32.6,898
"149","Sudan","Sub-Saharan Africa","1800",3994154,31.4,518
"150","Suriname","America","1800",80721,32.9,1636
"151","Swaziland","Sub-Saharan Africa","1800",86000,32.3,490
"152","Sweden","Europe & Central Asia","1800",2354189,32.16,1414
"153","Switzerland","Europe & Central Asia","1800",1826051,38,2701
"154","Syria","Middle East & North Africa","1800",1337000,31.1,1081
"155","Tajikistan","Europe & Central Asia","1800",466629,24.235,556
"156","Tanzania","Sub-Saharan Africa","1800",3019768,32.2,562
"157","Thailand","East Asia & Pacific","1800",4665000,30.4,931
"158","Timor-Leste","East Asia & Pacific","1800",137262,28.949,521
"159","Togo","Sub-Saharan Africa","1800",445985,31.3,682
"160","Tonga","East Asia & Pacific","1800",18658,28.2,663
"161","Trinidad and Tobago","America","1800",60000,32.9,1230
"162","Tunisia","Middle East & North Africa","1800",862029,28.8,716
"163","Turkey","Europe & Central Asia","1800",9773456,35,1221
"164","Turkmenistan","Europe & Central Asia","1800",367215,24,943
"165","Uganda","Sub-Saharan Africa","1800",2101397,25.3,464
"166","Ukraine","Europe & Central Asia","1800",11215490,36.6,763
"167","United Arab Emirates","Middle East & North Africa","1800",40153,30.7,998
"168","United Kingdom","Europe & Central Asia","1800",12327466,38.6497602996604,3431
"169","United States","America","1800",6801854,39.41,2128
"170","Uruguay","America","1800",55000,32.9,1758
"171","Uzbekistan","Europe & Central Asia","1800",1919159,26.926,502
"172","Vanuatu","East Asia & Pacific","1800",27791,24.3,585
"173","Venezuela","America","1800",718000,32.2,682
"174","West Bank and Gaza","Middle East & North Africa","1800",165944,32.1,1220
"175","Vietnam","East Asia & Pacific","1800",6551000,32,861
"176","Zambia","Sub-Saharan Africa","1800",747000,32.6,663
"177","Zimbabwe","Sub-Saharan Africa","1800",1085814,33.7,869
"178","South Sudan","Sub-Saharan Africa","1800",1027378,26.665,507
"179","Afghanistan","South Asia","1810",3280000,28.1085333333333,604
"180","Albania","Europe & Central Asia","1810",423591,35.4,668
"181","Algeria","Middle East & North Africa","1810",2595056,28.8224,725
"182","Angola","Sub-Saharan Africa","1810",1567028,26.98,645
"183","Antigua and Barbuda","America","1810",37000,33.536,758
"184","Argentina","America","1810",534000,33.2,1510
"185","Armenia","Europe & Central Asia","1810",413326,33.995,514
"186","Aruba","America","1810",19286,34.419,834
"187","Australia","East Asia & Pacific","1810",342440,34.05,834
"188","Austria","Europe & Central Asia","1810",3286650,34.4,1924
"189","Azerbaijan","Europe & Central Asia","1810",879960,29.165,777
"190","Bahamas","America","1810",27350,35.179,1447
"191","Bahrain","Middle East & North Africa","1810",64474,30.3,1289
"192","Bangladesh","South Asia","1810",19611269,25.5,875
"193","Barbados","America","1810",81729,32.124,915
"194","Belarus","Europe & Central Asia","1810",2355081,36.2,611
"195","Belgium","Europe & Central Asia","1810",3283959,40.080487804878,2416
"196","Belize","America","1810",25526,26.5,580
"197","Benin","Sub-Saharan Africa","1810",636559,31,598
"198","Bhutan","South Asia","1810",89989,28.799,630
"199","Bolivia","America","1810",1100000,33,855
"200","Bosnia and Herzegovina","Europe & Central Asia","1810",851806,35.1,670
"201","Botswana","Sub-Saharan Africa","1810",121000,33.6,398
"202","Brazil","America","1810",4058652,31.9980666666667,1110
"203","Brunei","East Asia & Pacific","1810",2128,29.2,1514
"204","Bulgaria","Europe & Central Asia","1810",2088223,36.24,1091
"205","Burkina Faso","Sub-Saharan Africa","1810",1665421,29.2,480
"206","Burundi","Sub-Saharan Africa","1810",899097,31.5,422
"207","Cambodia","East Asia & Pacific","1810",2090000,35,905
"208","Cameroon","Sub-Saharan Africa","1810",1860054,28.75,627
"209","Canada","America","1810",727603,39.0149677419355,1400
"210","Cape Verde","Sub-Saharan Africa","1810",55716,33.8,530
"211","Chad","Sub-Saharan Africa","1810",1432000,30.9,419
"212","Chile","America","1810",771447,32,1028
