"","country","Region","year","population","life","gdp"
"1021","Poland","Europe & Central Asia","1850",13219914,35.9,1468
"1022","Portugal","Europe & Central Asia","1850",3821571,35.6,1698
"1023","Puerto Rico","America","1850",490452,30.43,1623
"1024","Qatar","Middle East & North Africa","1850",14092,30.8,1323
"1025","Romania","Europe & Central Asia","1850",7994544,35.7,1233
"1026","Russia","Europe & Central Asia","1850",41023821,29.5734571976521,1778
"1027","Rwanda","Sub-Saharan Africa","1850",1118138,31.8,459
"1028","Samoa","East Asia & Pacific","1850",46077,25.4,1555
"1029","Sao Tome and Principe","Sub-Saharan Africa","1850",28467,31,933
"1030","Saudi Arabia","Middle East & North Africa","1850",2236084,32.1,890
"1031","Senegal","Sub-Saharan Africa","1850",1236126,25.2,576
"1032","Serbia","Europe & Central Asia","1850",2799079,35.5,1740
"1033","Seychelles","Sub-Saharan Africa","1850",13891,37,965
"1034","Sierra Leone","Sub-Saharan Africa","1850",971609,25.1,851
"1035","Singapore","East Asia & Pacific","1850",56355,34,1095
"1036","Slovak Republic","Europe & Central Asia","1850",2388322,36.4,1827
"1037","Slovenia","Europe & Central Asia","1850",612303,36.6,1805
"1038","Solomon Islands","East Asia & Pacific","1850",65274,25.1,405
"1039","Somalia","Sub-Saharan Africa","1850",1208406,29.4,728
"1040","South Africa","Sub-Saharan Africa","1850",2091873,33.5,1308
"1041","Spain","Europe & Central Asia","1850",14846857,29.5,1637
"1042","Sri Lanka","South Asia","1850",2177134,32.6,928
"1043","Sudan","Sub-Saharan Africa","1850",4687944,31.4,601
"1044","Suriname","America","1850",101302,32.9,2009
"1045","Swaziland","Sub-Saharan Africa","1850",86000,32.3,567
"1046","Sweden","Europe & Central Asia","1850",3440593,44.69,1789
"1047","Switzerland","Europe & Central Asia","1850",2370905,38,3716
"1048","Syria","Middle East & North Africa","1850",1479335,31.1,1126
"1049","Tajikistan","Europe & Central Asia","1850",614819,24.235,664
"1050","Tanzania","Sub-Saharan Africa","1850",3358108,32.2,611
"1051","Thailand","East Asia & Pacific","1850",5247574,30.4,975
"1052","Timor-Leste","East Asia & Pacific","1850",191539,28.949,575
"1053","Togo","Sub-Saharan Africa","1850",581106,31.3,791
"1054","Tonga","East Asia & Pacific","1850",18577,28.2,736
"1055","Trinidad and Tobago","America","1850",83021,38.8,1452
"1056","Tunisia","Middle East & North Africa","1850",1045505,14,829
"1057","Turkey","Europe & Central Asia","1850",11074762,35,1436
"1058","Turkmenistan","Europe & Central Asia","1850",484374,24,1172
"1059","Uganda","Sub-Saharan Africa","1850",2322049,25.3,538
"1060","Ukraine","Europe & Central Asia","1850",14822733,36.6,948
"1061","United Arab Emirates","Middle East & North Africa","1850",40153,30.7,1203
"1062","United Kingdom","Europe & Central Asia","1850",22623571,42.8,4480
"1063","United States","America","1850",24136293,39.41,3059
"1064","Uruguay","America","1850",142515,32.9,3563
"1065","Uzbekistan","Europe & Central Asia","1850",2530062,26.926,552
"1066","Vanuatu","East Asia & Pacific","1850",31490,24.3,650
"1067","Venezuela","America","1850",1298076,32.2,781
"1068","West Bank and Gaza","Middle East & North Africa","1850",169606,32.1,1230
"1069","Vietnam","East Asia & Pacific","1850",8722624,32,846
"1070","Zambia","Sub-Saharan Africa","1850",747000,32.6,748
"1071","Zimbabwe","Sub-Saharan Africa","1850",1346417,33.7,923
"1072","South Sudan","Sub-Saharan Africa","1850",1205835,26.665,588
"1073","Afghanistan","South Asia","1860",3973968,27.5962,692
"1074","Albania","Europe & Central Asia","1860",552800,35.4,733
"1075","Algeria","Middle East & North Africa","1860",3536468,28.8224,1134
"1076","Angola","Sub-Saharan Africa","1860",2110747,26.98,804
"1077","Antigua and Barbuda","America","1860",36532,33.536,994
"1078","Argentina","America","1860",1421333,33.2,2666
"1079","Armenia","Europe & Central Asia","1860",595928,33.995,601
"1080","Aruba","America","1860",23786,34.419,1093
"1081","Australia","East Asia & Pacific","1860",1256048,34.05,4795
"1082","Austria","Europe & Central Asia","1860",4235926,34.4,3206
"1083","Azerbaijan","Europe & Central Asia","1860",1270556,29.165,971
"1084","Bahamas","America","1860",33625,35.179,1897
"1085","Bahrain","Middle East & North Africa","1860",64469,30.3,1715
"1086","Bangladesh","South Asia","1860",23665237,25.5,880
"1087","Barbados","America","1860",149452,32.124,1199
"1088","Belarus","Europe & Central Asia","1860",3404323,36.2,775
"1089","Belgium","Europe & Central Asia","1860",4753088,45.12,4240
"1090","Belize","America","1860",25755,26.5,760
"1091","Benin","Sub-Saharan Africa","1860",941469,31,726
"1092","Bhutan","South Asia","1860",109811,28.799,683
"1093","Bolivia","America","1860",1454100,33,1250
"1094","Bosnia and Herzegovina","Europe & Central Asia","1860",1210294,35.1,786
"1095","Botswana","Sub-Saharan Africa","1860",121300,33.6,483
"1096","Brazil","America","1860",8466005,31.9884000000001,1358
"1097","Brunei","East Asia & Pacific","1860",4866,29.2,1737
"1098","Bulgaria","Europe & Central Asia","1860",2543199,38.4399999999998,1330
"1099","Burkina Faso","Sub-Saharan Africa","1860",2229242,29.2,503
"1100","Burundi","Sub-Saharan Africa","1860",1214527,31.5,442
"1101","Cambodia","East Asia & Pacific","1860",2292897,35,961
"1102","Cameroon","Sub-Saharan Africa","1860",2095258,28.75,762
"1103","Canada","America","1860",3231465,41.541504,2406
"1104","Cape Verde","Sub-Saharan Africa","1860",79725,33.8,629
"1105","Chad","Sub-Saharan Africa","1860",1439871,30.9,509
"1106","Chile","America","1860",1669298,32,1632
"1107","China","East Asia & Pacific","1860",380047548,28.85,1023
"1108","Colombia","America","1860",2234376,32,1071
"1109","Comoros","Sub-Saharan Africa","1860",77147,32.1,740
"1110","Congo, Dem. Rep.","Sub-Saharan Africa","1860",6725315,31.6,621
"1111","Congo, Rep.","Sub-Saharan Africa","1860",420500,32.7,681
"1112","Costa Rica","America","1860",115687,30.2147,1215
"1113","Cote d'Ivoire","Sub-Saharan Africa","1860",1427565,31.156,1033
"1114","Croatia","Europe & Central Asia","1860",1747990,36.1,1794
"1115","Cuba","America","1860",1324000,36.24,1733
"1116","Cyprus","Europe & Central Asia","1860",185677,38.5075789473684,1373
"1117","Denmark","Europe & Central Asia","1860",1694397,45.11,3029
"1118","Djibouti","Middle East & North Africa","1860",31072,29.9,909
"1119","Ecuador","America","1860",917213,32.9,685
"1120","Egypt","Middle East & North Africa","1860",6335975,33,954
"1121","El Salvador","America","1860",426145,28.7,1367
"1122","Equatorial Guinea","Sub-Saharan Africa","1860",91867,29.8,385
"1123","Eritrea","Sub-Saharan Africa","1860",348752,30.2,591
"1124","Estonia","Europe & Central Asia","1860",482924,39.0009918779612,1243
"1125","Ethiopia","Sub-Saharan Africa","1860",5187597,29.7,531
"1126","Fiji","East Asia & Pacific","1860",133713,26.1,902
"1127","Finland","Europe & Central Asia","1860",1734254,38.1509986416423,1594
"1128","France","Europe & Central Asia","1860",37461341,43.33,3086
"1129","Gabon","Sub-Saharan Africa","1860",221711,30.6,394
"1130","Gambia","Sub-Saharan Africa","1860",139176,28.8,843
"1131","Georgia","Europe & Central Asia","1860",1548450,31.871,658
"1132","Germany","Europe & Central Asia","1860",36383150,38.37,2509
"1133","Ghana","Sub-Saharan Africa","1860",1658980,28,730
"1134","Greece","Europe & Central Asia","1860",3333279,36.6,1888
"1135","Greenland","Europe & Central Asia","1860",12549,33.8671871528831,604
"1136","Grenada","America","1860",33575,37.3,1139
"1137","Guatemala","America","1860",963300,25.8096000000001,1190
"1138","Guinea","Sub-Saharan Africa","1860",1401319,30.1206896551723,490
"1139","Guinea-Bissau","Sub-Saharan Africa","1860",286188,32,805
"1140","Guyana","America","1860",218524,31.12,1594
"1141","Haiti","America","1860",1042297,29,954
"1142","Honduras","America","1860",377151,33.9,1127
"1143","Hong Kong, China","East Asia & Pacific","1860",68983,34.9,1105
"1144","Hungary","Europe & Central Asia","1860",5529257,36,1711
"1145","Iceland","Europe & Central Asia","1860",79662,19.76,1435
"1146","India","South Asia","1860",204966302,23,1056
"1147","Indonesia","East Asia & Pacific","1860",24209376,30,1058
"1148","Iran","Middle East & North Africa","1860",7986219,25.6,1057
"1149","Iraq","Middle East & North Africa","1860",1468222,31.2,1145
"1150","Ireland","Europe & Central Asia","1860",4174177,38.5642857142857,2565
"1151","Israel","Middle East & North Africa","1860",229141,32,887
"1152","Italy","Europe & Central Asia","1860",26127905,29.69,2403
"1153","Jamaica","America","1860",447153,34.2,909
"1154","Japan","East Asia & Pacific","1860",33176900,36.4238523076925,1168
"1155","Jordan","Middle East & North Africa","1860",254044,31.7,1153
"1156","Kazakhstan","Europe & Central Asia","1860",2946007,26.2,1511
"1157","Kenya","Sub-Saharan Africa","1860",2585052,25.5,1030
"1158","Kiribati","East Asia & Pacific","1860",20867,24.9,581
"1159","Kuwait","Middle East & North Africa","1860",81014,26,1373
"1160","Latvia","Europe & Central Asia","1860",854350,33,996
"1161","Lebanon","Middle East & North Africa","1860",438438,29.7,1445
"1162","Lesotho","Sub-Saharan Africa","1860",373508,32.8,407
"1163","Liberia","Sub-Saharan Africa","1860",437090,31.1,890
"1164","Libya","Middle East & North Africa","1860",665152,33.1,1719
"1165","Lithuania","Europe & Central Asia","1860",1126227,28.9,1684
"1166","Luxembourg","Europe & Central Asia","1860",164944,36.9,2338
"1167","Macao, China","East Asia & Pacific","1860",68345,34.7,1140
"1168","Macedonia, FYR","Europe & Central Asia","1860",558999,36.1,919
"1169","Madagascar","Sub-Saharan Africa","1860",2211039,30.5,697
"1170","Malawi","Sub-Saharan Africa","1860",741675,30.3,353
"1171","Malaysia","East Asia & Pacific","1860",655673,30.6,1085
"1172","Maldives","South Asia","1860",52965,32.647,842
"1173","Mali","Sub-Saharan Africa","1860",2034750,26.408,613
"1174","Malta","Europe & Central Asia","1860",174027,28.7,1131
"1175","Mauritania","Sub-Saharan Africa","1860",452032,32,642
"1176","Mauritius","Sub-Saharan Africa","1860",279009,30.9640432050721,1144
"1177","Mexico","America","1860",8432207,26.9,1265
"1178","Micronesia, Fed. Sts.","East Asia & Pacific","1860",20130,26.7,537
"1179","Moldova","Europe & Central Asia","1860",1028627,33.145,774
"1180","Mongolia","East Asia & Pacific","1860",657420,31.8,635
"1181","Montenegro","Europe & Central Asia","1860",180155,35.4,1409
"1182","Morocco","Middle East & North Africa","1860",3531477,33.1,769
"1183","Mozambique","Sub-Saharan Africa","1860",2955262,30.2772000000001,404
"1184","Myanmar","East Asia & Pacific","1860",4096564,30.8,848
"1185","Namibia","Sub-Saharan Africa","1860",229599,32.4,984
"1186","Nepal","South Asia","1860",4542078,32.8,660
"1187","Netherlands","Europe & Central Asia","1860",3342346,36.91,4642
"1188","New Zealand","East Asia & Pacific","1860",157114,34.05,3674
"1189","Nicaragua","America","1860",375911,25.4,1492
"1190","Niger","Sub-Saharan Africa","1860",1543423,30.8,543
"1191","Nigeria","Sub-Saharan Africa","1860",14374142,30.4,1058
"1192","Norway","Europe & Central Asia","1860",1580366,50,2033
"1193","Oman","Middle East & North Africa","1860",356413,32.3,1084
"1194","Pakistan","South Asia","1860",15586758,25.8,1025
"1195","Panama","America","1860",154637,32.9,1333
"1196","Papua New Guinea","East Asia & Pacific","1860",970939,31.5,627
"1197","Paraguay","America","1860",367617,35.5,1381
"1198","Peru","America","1860",2294268,35.7,1341
"1199","Philippines","East Asia & Pacific","1860",3746791,30.9,1023
"1200","Poland","Europe & Central Asia","1860",14848599,35.9,1525
"1201","Portugal","Europe & Central Asia","1860",4039181,35.6,1637
"1202","Puerto Rico","America","1860",575756,30.43,1713
"1203","Qatar","Middle East & North Africa","1860",14031,30.8,1373
"1204","Romania","Europe & Central Asia","1860",8568953,35.7,1413
"1205","Russia","Europe & Central Asia","1860",44966686,29.5734571976521,1896
"1206","Rwanda","Sub-Saharan Africa","1860",1197896,31.8,465
"1207","Samoa","East Asia & Pacific","1860",43781,25.4,1608
"1208","Sao Tome and Principe","Sub-Saharan Africa","1860",30707,31,950
"1209","Saudi Arabia","Middle East & North Africa","1860",2284384,32.1,901
"1210","Senegal","Sub-Saharan Africa","1860",1326001,25.2,605
"1211","Serbia","Europe & Central Asia","1860",3055165,35.5,1809
"1212","Seychelles","Sub-Saharan Africa","1860",14379,37,1004
"1213","Sierra Leone","Sub-Saharan Africa","1860",1042482,25.1,893
"1214","Singapore","East Asia & Pacific","1860",69094,34,1120
"1215","Slovak Republic","Europe & Central Asia","1860",2475264,36.4,1900
"1216","Slovenia","Europe & Central Asia","1860",668599,36.6,1877
"1217","Solomon Islands","East Asia & Pacific","1860",66648,25.1,419
"1218","Somalia","Sub-Saharan Africa","1860",1285806,29.4,735
"1219","South Africa","Sub-Saharan Africa","1860",2310179,33.5,1626
"1220","Spain","Europe & Central Asia","1860",15609406,29.5,1878
"1221","Sri Lanka","South Asia","1860",2493854,32.6,1142
"1222","Sudan","Sub-Saharan Africa","1860",4739424,31.4,631
"1223","Suriname","America","1860",109079,32.9,2149
"1224","Swaziland","Sub-Saharan Africa","1860",86296,32.3,596
"1225","Sweden","Europe & Central Asia","1860",3809535,48.47,2029
"1226","Switzerland","Europe & Central Asia","1860",2511573,38,4362
"1227","Syria","Middle East & North Africa","1860",1529203,31.1,1140
"1228","Tajikistan","Europe & Central Asia","1860",672986,24.235,703
"1229","Tanzania","Sub-Saharan Africa","1860",3473380,32.2,628
"1230","Thailand","East Asia & Pacific","1860",5516868,30.4,990
"1231","Timor-Leste","East Asia & Pacific","1860",213713,28.949,587
"1232","Togo","Sub-Saharan Africa","1860",633981,31.3,830
"1233","Tonga","East Asia & Pacific","1860",18778,28.2,761
"1234","Trinidad and Tobago","America","1860",100774,38.8,1533
"1235","Tunisia","Middle East & North Africa","1860",1112651,28.8,870
"1236","Turkey","Europe & Central Asia","1860",11428718,35,1514
"1237","Turkmenistan","Europe & Central Asia","1860",530801,24,1250
"1238","Uganda","Sub-Saharan Africa","1860",2399360,25.3,564
"1239","Ukraine","Europe & Central Asia","1860",16253669,36.6,1012
"1240","United Arab Emirates","Middle East & North Africa","1860",40222,30.7,1248
"1241","United Kingdom","Europe & Central Asia","1860",24783522,43.01,5268
"1242","United States","America","1860",31936643,39.41,3714
"1243","Uruguay","America","1860",221925,32.9,4505
"1244","Uzbekistan","Europe & Central Asia","1860",2812219,26.926,570
"1245","Vanuatu","East Asia & Pacific","1860",32791,24.3,672
"1246","Venezuela","America","1860",1500530,32.2,817
"1247","West Bank and Gaza","Middle East & North Africa","1860",181738,32.1,1231
"1248","Vietnam","East Asia & Pacific","1860",9411019,32,840
"1249","Zambia","Sub-Saharan Africa","1860",746052,32.6,767
"1250","Zimbabwe","Sub-Saharan Africa","1860",1444385,33.7,934
"1251","South Sudan","Sub-Saharan Africa","1860",1329906,26.665,617
"1252","Afghanistan","South Asia","1870",4169690,27.4937333333333,716
"1253","Albania","Europe & Central Asia","1870",610036,35.4,750
"1254","Algeria","Middle East & North Africa","1870",3811028,22,1264
"1255","Angola","Sub-Saharan Africa","1870",2285417,26.98,840
"1256","Antigua and Barbuda","America","1870",35546,33.536,1063
"1257","Argentina","America","1870",1856886,33.2,3072
"1258","Armenia","Europe & Central Asia","1870",652450,31.463,625
"1259","Aruba","America","1870",25063,34.419,1170
"1260","Australia","East Asia & Pacific","1870",1724213,34.05,5431
"1261","Austria","Europe & Central Asia","1870",4556658,34.4,3439
"1262","Azerbaijan","Europe & Central Asia","1870",1391460,26.633,1026
"1263","Bahamas","America","1870",38787,35.179,2030
"1264","Bahrain","Middle East & North Africa","1870",65422,30.3,1921
"1265","Bangladesh","South Asia","1870",24757994,25.5,881
"1266","Barbados","America","1870",161206,32.124,1283
"1267","Belarus","Europe & Central Asia","1870",3733161,36.2,822
"1268","Belgium","Europe & Central Asia","1870",5110891,40.92,4990
"1269","Belize","America","1870",25745,26.5,813
"1270","Benin","Sub-Saharan Africa","1870",1038118,31,762
"1271","Bhutan","South Asia","1870",115908,28.799,697
"1272","Bolivia","America","1870",1538001,33,1374
"1273","Bosnia and Herzegovina","Europe & Central Asia","1870",1320249,35.1,790
"1274","Botswana","Sub-Saharan Africa","1870",121600,33.6,507
"1275","Brazil","America","1870",9964419,31.9864666666668,1488
"1276","Brunei","East Asia & Pacific","1870",6184,29.2,1797
"1277","Bulgaria","Europe & Central Asia","1870",2677708,38.8799999999998,1397
"1278","Burkina Faso","Sub-Saharan Africa","1870",2397003,29.2,509
"1279","Burundi","Sub-Saharan Africa","1870",1299471,31.5,446
"1280","Cambodia","East Asia & Pacific","1870",2376103,35,976
"1281","Cameroon","Sub-Saharan Africa","1870",2158809,28.75,799
"1282","Canada","America","1870",3817167,42.460624,2815
"1283","Cape Verde","Sub-Saharan Africa","1870",87122,33.8,657
"1284","Chad","Sub-Saharan Africa","1870",1447743,30.9,534
"1285","Chile","America","1870",1957051,32,1929
"1286","China","East Asia & Pacific","1870",363661158,31.9571428571429,1099
"1287","Colombia","America","1870",2482542,32,1099
"1288","Comoros","Sub-Saharan Africa","1870",83370,32.1,747
"1289","Congo, Dem. Rep.","Sub-Saharan Africa","1870",7179175,31.6,647
"1290","Congo, Rep.","Sub-Saharan Africa","1870",451853,32.7,701
"1291","Costa Rica","America","1870",138409,30.2147,1359
"1292","Cote d'Ivoire","Sub-Saharan Africa","1870",1526047,31.156,1075
"1293","Croatia","Europe & Central Asia","1870",1908823,36.1,1865
"1294","Cuba","America","1870",1424672,29.66,1946
"1295","Cyprus","Europe & Central Asia","1870",185971,38.5088421052631,1546
"1296","Denmark","Europe & Central Asia","1870",1887120,46.06,3536
"1297","Djibouti","Middle East & North Africa","1870",33526,29.9,938
"1298","Ecuador","America","1870",1028649,32.9,731
"1299","Egypt","Middle East & North Africa","1870",7040615,33,999
"1300","El Salvador","America","1870",494137,28.7,1487
"1301","Equatorial Guinea","Sub-Saharan Africa","1870",95032,29.8,390
"1302","Eritrea","Sub-Saharan Africa","1870",397927,30.2,606
"1303","Estonia","Europe & Central Asia","1870",529246,41.2548949113052,1326
"1304","Ethiopia","Sub-Saharan Africa","1870",5956559,29.7,533
"1305","Fiji","East Asia & Pacific","1870",130491,26.1,933
"1306","Finland","Europe & Central Asia","1870",1847468,45.6614069937899,1897
"1307","France","Europe & Central Asia","1870",38170355,36.41,3297
"1308","Gabon","Sub-Saharan Africa","1870",241457,30.6,394
"1309","Gambia","Sub-Saharan Africa","1870",149924,28.8,848
"1310","Georgia","Europe & Central Asia","1870",1696367,29.339,690
"1311","Germany","Europe & Central Asia","1870",39702235,38.37,2819
"1312","Ghana","Sub-Saharan Africa","1870",1625206,28,736
"1313","Greece","Europe & Central Asia","1870",3655056,36.6,1963
"1314","Greenland","Europe & Central Asia","1870",13414,33.8672183450302,672
"1315","Grenada","America","1870",37009,37.3,1188
"1316","Guatemala","America","1870",1077038,25.8112000000001,1291
"1317","Guinea","Sub-Saharan Africa","1870",1529932,30.2241379310344,500
"1318","Guinea-Bissau","Sub-Saharan Africa","1870",307224,32,812
"1319","Guyana","America","1870",233706,31.12,1705
"1320","Haiti","America","1870",1155908,29,1056
"1321","Honduras","America","1870",405947,33.9,1281
"1322","Hong Kong, China","East Asia & Pacific","1870",116126,34.9,1130
"1323","Hungary","Europe & Central Asia","1870",5899196,36,1849
"1324","Iceland","Europe & Central Asia","1870",84941,38.37,1599
"1325","India","South Asia","1870",213725049,25.4424,1058
"1326","Indonesia","East Asia & Pacific","1870",27062539,30,1075
"1327","Iran","Middle East & North Africa","1870",8397441,25.6,1077
"1328","Iraq","Middle East & North Africa","1870",1598592,31.2,1193
"1329","Ireland","Europe & Central Asia","1870",3875492,41.2071428571428,2958
"1330","Israel","Middle East & North Africa","1870",252622,32,889
"1331","Italy","Europe & Central Asia","1870",27845334,29.69,2643
"1332","Jamaica","America","1870",501444,34.2,903
"1333","Japan","East Asia & Pacific","1870",34638021,36.59264,1213
"1334","Jordan","Middle East & North Africa","1870",264678,31.7,1201
"1335","Kazakhstan","Europe & Central Asia","1870",3226542,23.668,1612
"1336","Kenya","Sub-Saharan Africa","1870",2596105,25.5,1063
"1337","Kiribati","East Asia & Pacific","1870",22287,24.9,586
"1338","Kuwait","Middle East & North Africa","1870",81947,26,1426
"1339","Latvia","Europe & Central Asia","1870",936818,36.3206666666667,1062
"1340","Lebanon","Middle East & North Africa","1870",465945,29.7,1547
"1341","Lesotho","Sub-Saharan Africa","1870",402517,32.8,409
"1342","Liberia","Sub-Saharan Africa","1870",475766,31.1,914
"1343","Libya","Middle East & North Africa","1870",707627,33.1,1943
"1344","Lithuania","Europe & Central Asia","1870",1234990,28.9,1796
"1345","Luxembourg","Europe & Central Asia","1870",176056,36.9,2631
"1346","Macao, China","East Asia & Pacific","1870",78755,34.7,1179
"1347","Macedonia, FYR","Europe & Central Asia","1870",611581,36.1,956
"1348","Madagascar","Sub-Saharan Africa","1870",2365391,30.5,731
"1349","Malawi","Sub-Saharan Africa","1870",746350,30.3,354
"1350","Malaysia","East Asia & Pacific","1870",839427,30.6,1108
"1351","Maldives","South Asia","1870",55543,32.647,841
"1352","Mali","Sub-Saharan Africa","1870",2235477,26.408,615
"1353","Malta","Europe & Central Asia","1870",185742,28.7,1239
"1354","Mauritania","Sub-Saharan Africa","1870",471145,32,673
"1355","Mauritius","Sub-Saharan Africa","1870",332456,39.2922239202946,1200
"1356","Mexico","America","1870",9338206,26.9,1237
"1357","Micronesia, Fed. Sts.","East Asia & Pacific","1870",21150,26.7,541
"1358","Moldova","Europe & Central Asia","1870",1126725,33.145,817
"1359","Mongolia","East Asia & Pacific","1870",667671,31.8,646
"1360","Montenegro","Europe & Central Asia","1870",196497,35.4,1465
"1361","Morocco","Middle East & North Africa","1870",3782586,33.1,782
"1362","Mozambique","Sub-Saharan Africa","1870",3211221,30.2770666666668,407
"1363","Myanmar","East Asia & Pacific","1870",4574586,30.8,849
"1364","Namibia","Sub-Saharan Africa","1870",230198,32.4,1142
"1365","Nepal","South Asia","1870",4754129,32.8,661
"1366","Netherlands","Europe & Central Asia","1870",3622598,37.34,5262
"1367","New Zealand","East Asia & Pacific","1870",301045,34.05,5156
"1368","Nicaragua","America","1870",405582,25.4,1659
"1369","Niger","Sub-Saharan Africa","1870",1634127,30.8,569
"1370","Nigeria","Sub-Saharan Africa","1870",15015256,30.4,1108
"1371","Norway","Europe & Central Asia","1870",1746718,50.86,2483
"1372","Oman","Middle East & North Africa","1870",368037,32.3,1130
"1373","Pakistan","South Asia","1870",16199658,25.8,1027
"1374","Panama","America","1870",176627,32.9,1492
"1375","Papua New Guinea","East Asia & Pacific","1870",1033573,31.5,649
"1376","Paraguay","America","1870",385864,35.5,1565
"1377","Peru","America","1870",2616789,35.7,1377
"1378","Philippines","East Asia & Pacific","1870",4382416,30.9,1039
"1379","Poland","Europe & Central Asia","1870",17013787,35.9,1584
"1380","Portugal","Europe & Central Asia","1870",4328374,35.6,1798
"1381","Puerto Rico","America","1870",659930,30.43,1809
"1382","Qatar","Middle East & North Africa","1870",14177,30.8,1426
"1383","Romania","Europe & Central Asia","1870",9151343,35.7,1620
"1384","Russia","Europe & Central Asia","1870",49288504,31.1208260426202,2023
"1385","Rwanda","Sub-Saharan Africa","1870",1283278,31.8,471
"1386","Samoa","East Asia & Pacific","1870",40833,25.4,1664
"1387","Sao Tome and Principe","Sub-Saharan Africa","1870",33124,31,968
"1388","Saudi Arabia","Middle East & North Africa","1870",2339375,32.1,912
"1389","Senegal","Sub-Saharan Africa","1870",1422397,25.2,635
"1390","Serbia","Europe & Central Asia","1870",3334681,35.5,1881
"1391","Seychelles","Sub-Saharan Africa","1870",14884,37,1044
"1392","Sierra Leone","Sub-Saharan Africa","1870",1118510,25.1,937
"1393","Singapore","East Asia & Pacific","1870",87515,34,1145
"1394","Slovak Republic","Europe & Central Asia","1870",2565369,36.4,1976
"1395","Slovenia","Europe & Central Asia","1870",730072,36.6,1951
"1396","Solomon Islands","East Asia & Pacific","1870",68010,25.1,434
"1397","Somalia","Sub-Saharan Africa","1870",1368164,29.4,742
"1398","South Africa","Sub-Saharan Africa","1870",2629836,33.5,1696
"1399","Spain","Europe & Central Asia","1870",16226123,29.5,1837
"1400","Sri Lanka","South Asia","1870",2775272,32.6,1405
"1401","Sudan","Sub-Saharan Africa","1870",4785897,31.4,662
"1402","Suriname","America","1870",117453,32.9,2298
"1403","Swaziland","Sub-Saharan Africa","1870",86592,32.3,625
"1404","Sweden","Europe & Central Asia","1870",4174365,45.01,2243
"1405","Switzerland","Europe & Central Asia","1870",2663904,38,5263
"1406","Syria","Middle East & North Africa","1870",1589363,31.1,1154
"1407","Tajikistan","Europe & Central Asia","1870",736654,21.703,743
"1408","Tanzania","Sub-Saharan Africa","1870",3592601,32.2,645
"1409","Thailand","East Asia & Pacific","1870",5852505,30.4,1004
"1410","Timor-Leste","East Asia & Pacific","1870",238455,28.949,598
"1411","Togo","Sub-Saharan Africa","1870",691667,31.3,871
"1412","Tonga","East Asia & Pacific","1870",19059,28.2,787
"1413","Trinidad and Tobago","America","1870",127290,38.8,1618
"1414","Tunisia","Middle East & North Africa","1870",1200115,28.8,912
"1415","Turkey","Europe & Central Asia","1870",11871788,35,1597
"1416","Turkmenistan","Europe & Central Asia","1870",581677,19.924,1334
"1417","Uganda","Sub-Saharan Africa","1870",2479244,25.3,592
"1418","Ukraine","Europe & Central Asia","1870",17822740,36.6,1079
"1419","United Arab Emirates","Middle East & North Africa","1870",40889,30.7,1296
"1420","United Kingdom","Europe & Central Asia","1870",27651628,40.95,6046
"1421","United States","America","1870",40821569,39.41,4058
"1422","Uruguay","America","1870",337169,32.9,5695
"1423","Uzbekistan","Europe & Central Asia","1870",3125228,24.394,587
"1424","Vanuatu","East Asia & Pacific","1870",34145,24.3,696
"1425","Venezuela","America","1870",1719628,32.2,854
"1426","West Bank and Gaza","Middle East & North Africa","1870",201057,32.1,1233
"1427","Vietnam","East Asia & Pacific","1870",10284238,32,834
"1428","Zambia","Sub-Saharan Africa","1870",745105,32.6,786
"1429","Zimbabwe","Sub-Saharan Africa","1870",1549480,33.7,945
"1430","South Sudan","Sub-Saharan Africa","1870",1462765,26.665,648
"1431","Afghanistan","South Asia","1880",4419695,27.3912666666666,741
"1432","Albania","Europe & Central Asia","1880",672544,35.4,870
"1433","Algeria","Middle East & North Africa","1880",4143163,28.8224,1409
"1434","Angola","Sub-Saharan Africa","1880",2473597,26.98,878
"1435","Antigua and Barbuda","America","1880",35222,33.536,1137
"1436","Argentina","America","1880",2493156,33.1,3097
"1437","Armenia","Europe & Central Asia","1880",713957,32.995,649
"1438","Aruba","America","1880",26404,34.419,1251
"1439","Australia","East Asia & Pacific","1880",2253007,39.3421568627451,7120
"1440","Austria","Europe & Central Asia","1880",4947026,34.9454545454545,3928
"1441","Azerbaijan","Europe & Central Asia","1880",1523060,28.165,1084
"1442","Bahamas","America","1880",43344,35.179,2171
"1443","Bahrain","Middle East & North Africa","1880",68170,30.3,2152
"1444","Bangladesh","South Asia","1880",26094931,24.58,903
"1445","Barbados","America","1880",171072,32.124,1372
"1446","Belarus","Europe & Central Asia","1880",4091588,36.2,871
"1447","Belgium","Europe & Central Asia","1880",5572208,42.48,5697
"1448","Belize","America","1880",27123,26.5,869
"1449","Benin","Sub-Saharan Africa","1880",1144003,31,799
"1450","Bhutan","South Asia","1880",122321,28.799,710
"1451","Bolivia","America","1880",1626132,33,1511
"1452","Bosnia and Herzegovina","Europe & Central Asia","1880",1439493,35.1,906
"1453","Botswana","Sub-Saharan Africa","1880",121900,33.6,532
"1454","Brazil","America","1880",11893392,31.9845333333334,1455
"1455","Brunei","East Asia & Pacific","1880",8250,29.2,1859
"1456","Bulgaria","Europe & Central Asia","1880",2993642,39.3199999999998,1624
"1457","Burkina Faso","Sub-Saharan Africa","1880",2576527,29.2,515
