"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country","z"
"2647",2011,"infiniti","G25x","Midsize Cars",2.5,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,27,22,99,14,"Japan","Midsize Cars"
"2648",2011,"lexus","ES 350","Midsize Cars",3.5,"Automatic (S6)","6","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,19,27,22,95,15,"Japan","Midsize Cars"
"2649",2011,"lexus","LS 460","Midsize Cars",4.6,"Automatic (S8)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,103,14,"Japan","Midsize Cars"
"2650",2011,"lexus","LS 460 AWD","Midsize Cars",4.6,"Automatic (S8)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,103,14,"Japan","Midsize Cars"
"2651",2011,"lexus","LS 460 L","Midsize Cars",4.6,"Automatic (S8)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,102,14,"Japan","Midsize Cars"
"2652",2011,"lexus","LS 460 L AWD","Midsize Cars",4.6,"Automatic (S8)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,18,102,14,"Japan","Midsize Cars"
"2653",2011,"lexus","LS 600h L","Midsize Cars",5,"Auto(AV-S8)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,23,20,102,10,"Japan","Midsize Cars"
"2654",2011,"infiniti","FX35 RWD","Sport Utility Vehicle - 2WD",3.5,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,NA,NA,"Japan","Sport Utility Vehicles"
"2655",2011,"lexus","RX 350 2WD","Sport Utility Vehicle - 2WD",3.5,"Automatic (S6)","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,25,21,NA,NA,"Japan","Sport Utility Vehicles"
"2656",2011,"lexus","RX 450h","Sport Utility Vehicle - 2WD",3.5,"Auto(AV-S6)","6","Front-Wheel Drive","Premium",FALSE,FALSE,FALSE,32,28,30,NA,NA,"Japan","Sport Utility Vehicles"
"2657",2011,"acura","ZDX 4WD","Sport Utility Vehicle - 4WD",3.7,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,23,19,NA,NA,"Japan","Sport Utility Vehicles"
"2658",2011,"infiniti","FX35 AWD","Sport Utility Vehicle - 4WD",3.5,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,21,18,NA,NA,"Japan","Sport Utility Vehicles"
"2659",2011,"infiniti","FX50 AWD","Sport Utility Vehicle - 4WD",5,"Automatic (S7)","8","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,14,20,16,NA,NA,"Japan","Sport Utility Vehicles"
"2660",2011,"lexus","RX 350 AWD","Sport Utility Vehicle - 4WD",3.5,"Automatic (S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,18,24,20,NA,NA,"Japan","Sport Utility Vehicles"
"2661",2011,"lexus","RX 450h AWD","Sport Utility Vehicle - 4WD",3.5,"Auto(AV-S6)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,30,28,29,NA,NA,"Japan","Sport Utility Vehicles"
"2662",2011,"audi","R8","Two Seaters",4.2,"Manual 6-spd","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,20,14,NA,NA,"Germany","Two Seaters"
"2663",2011,"audi","R8","Two Seaters",4.2,"Auto(AM6)","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,21,16,NA,NA,"Germany","Two Seaters"
"2664",2011,"audi","R8 Spyder","Two Seaters",4.2,"Manual 6-spd","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,20,14,NA,NA,"Germany","Two Seaters"
"2665",2011,"audi","R8 Spyder","Two Seaters",4.2,"Auto(AM6)","8","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,21,16,NA,NA,"Germany","Two Seaters"
"2666",2011,"infiniti","EX35","Small Station Wagons",3.5,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,20,92,19,"Japan","Small Pickup Trucks"
"2667",2011,"infiniti","EX35 AWD","Small Station Wagons",3.5,"Automatic (S7)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,24,19,92,19,"Japan","Small Pickup Trucks"
"2668",2011,"infiniti","G37 Convertible","Subcompact Cars",3.7,"Automatic (S7)","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,17,25,20,78,10,"Japan","Subcompact Cars"
"2669",2011,"infiniti","G37 Convertible","Subcompact Cars",3.7,"Manual 6-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,16,24,19,78,10,"Japan","Subcompact Cars"
"2670",2011,"lexus","CT 200h","Compact Cars",1.8,"Automatic (variable gear ratios)","4","Front-Wheel Drive","Regular",FALSE,FALSE,FALSE,43,40,42,86,14,"Japan","Compact Cars"
"2671",2011,"mercedes-benz","S400 Hybrid","Large Cars",3.5,"Automatic 7-spd","6","Rear-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,25,21,109,16,"Germany","Large Cars"
"2672",2011,"cadillac","CTS Wagon","Small Station Wagons",6.2,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,14,19,16,97,29,"USA","Small Pickup Trucks"
"2673",2011,"cadillac","CTS Wagon","Small Station Wagons",6.2,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,12,18,14,97,29,"USA","Small Pickup Trucks"
"2674",2011,"bmw","X3 xDrive28i","Sport Utility Vehicle - 4WD",3,"Automatic (S8)","6","All-Wheel Drive","Premium",FALSE,FALSE,FALSE,19,25,21,NA,NA,"Germany","Sport Utility Vehicles"
"2675",2011,"bmw","X3 xDrive35i","Sport Utility Vehicle - 4WD",3,"Automatic (S8)","6","All-Wheel Drive","Premium",TRUE,FALSE,FALSE,19,26,21,NA,NA,"Germany","Sport Utility Vehicles"
"2676",2011,"mercedes-benz","CL550 4matic","Compact Cars",4.7,"Automatic 7-spd","8","4-Wheel Drive","Premium",TRUE,FALSE,FALSE,15,23,18,91,14,"Germany","Compact Cars"
"2677",2011,"mercedes-benz","CL600","Compact Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,12,18,14,91,14,"Germany","Compact Cars"
"2678",2011,"mercedes-benz","CL63 AMG","Compact Cars",5.5,"Automatic 7-spd","8","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,15,21,17,91,14,"Germany","Compact Cars"
"2679",2011,"mercedes-benz","CL65 AMG","Compact Cars",6,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,12,18,14,91,14,"Germany","Compact Cars"
"2680",2011,"mercedes-benz","S600","Large Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,12,19,14,109,16,"Germany","Large Cars"
